offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa,Big Ten,Minnesota,Big Ten,401405141,40140514113,13,false,3,63,63,0,40,4,59,59,13,59,1,41,3,4,PUNT,false,10,10,10,10
Minnesota,Big Ten,Iowa,Big Ten,401405141,40140514114,14,false,4,3,97,13,59,4,91,9,5,7,8,52,16,88,FUMBLE,true,10,10,10,10
Iowa,Big Ten,Minnesota,Big Ten,401405141,40140514115,15,false,4,91,91,5,7,4,91,91,4,11,0,56,3,0,PUNT,false,10,10,10,10
Minnesota,Big Ten,Iowa,Big Ten,401405141,40140514116,16,false,4,45,55,4,11,4,67,33,2,6,2,5,4,22,INT,true,10,10,10,10
Iowa,Big Ten,Minnesota,Big Ten,401405141,40140514117,17,true,4,45,45,2,6,4,3,3,0,31,1,35,5,42,FG,false,10,10,13,10
Minnesota,Big Ten,Iowa,Big Ten,401405141,40140514118,18,false,4,25,75,0,28,4,34,66,0,3,0,25,4,9,DOWNS,true,10,13,10,13
Iowa,Big Ten,Minnesota,Big Ten,401405141,40140514119,19,false,4,34,34,0,3,4,35,35,0,0,0,3,1,-1,END OF GAME,false,13,10,13,10
Iowa,Big Ten,Nebraska,Big Ten,401405148,4014051481,1,false,1,14,86,15,0,1,14,86,14,6,0,54,3,0,PUNT,true,0,0,0,0
Nebraska,Big Ten,Iowa,Big Ten,401405148,4014051482,2,false,1,60,60,14,6,1,15,15,10,58,3,8,10,45,MISSED FG,false,0,0,0,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,4014051483,3,false,1,20,80,10,58,1,44,56,8,57,2,1,6,24,PUNT,true,0,0,0,0
Nebraska,Big Ten,Iowa,Big Ten,401405148,4014051484,4,true,1,87,87,8,57,1,0,0,8,45,0,12,1,87,TD,false,7,0,7,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,4014051485,5,false,1,25,75,8,45,1,31,69,6,32,2,13,4,6,FUMBLE,true,0,7,0,7
Nebraska,Big Ten,Iowa,Big Ten,401405148,4014051486,6,true,1,31,31,6,32,1,3,3,3,24,3,8,7,28,FG,false,7,0,10,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,4014051487,7,false,1,22,78,3,24,2,53,47,11,42,6,42,13,31,FUMBLE,true,0,10,0,10
Nebraska,Big Ten,Iowa,Big Ten,401405148,4014051488,8,true,2,39,39,11,42,2,0,0,10,51,0,51,3,39,TD,false,10,0,17,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,4014051489,9,false,2,33,67,10,51,2,36,64,8,14,2,37,4,3,PUNT,true,0,17,0,17
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514810,10,false,2,85,85,8,14,2,81,81,5,47,2,27,3,4,PUNT,false,17,0,17,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514811,11,false,2,52,48,5,47,2,45,55,4,17,1,30,3,-7,PUNT,true,0,17,0,17
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514812,12,false,2,90,90,4,17,2,43,43,0,0,4,17,11,47,END OF HALF,false,17,0,17,0
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514813,13,false,3,75,75,15,0,3,57,57,13,32,1,28,5,18,PUNT,false,17,0,17,0
Nebraska,Big Ten,Iowa,Big Ten,401405148,40140514814,14,true,3,18,18,13,32,3,0,0,12,15,1,17,3,18,TD,false,17,0,24,0
Iowa,Big Ten,Nebraska,Big Ten,401405148,40140514815,15,true,3,25,75,12,15,3,100,0,8,32,3,43,7,75,TD,true,0,24,7,24
